"filename", "language", "JSON", "JavaScript", "Markdown", "CSS", "TypeScript", "HTML", "comment", "blank", "total"
"c:\Users\10929291\Documents\Development\mean-course\README.md", "Markdown", 0, 0, 14, 0, 0, 0, 0, 14, 28
"c:\Users\10929291\Documents\Development\mean-course\angular.json", "JSON", 111, 0, 0, 0, 0, 0, 0, 1, 112
"c:\Users\10929291\Documents\Development\mean-course\backend\app.js", "JavaScript", 0, 42, 0, 0, 0, 0, 0, 8, 50
"c:\Users\10929291\Documents\Development\mean-course\karma.conf.js", "JavaScript", 0, 37, 0, 0, 0, 0, 6, 2, 45
"c:\Users\10929291\Documents\Development\mean-course\package-lock.json", "JSON", 12796, 0, 0, 0, 0, 0, 0, 1, 12797
"c:\Users\10929291\Documents\Development\mean-course\package.json", "JSON", 45, 0, 0, 0, 0, 0, 0, 1, 46
"c:\Users\10929291\Documents\Development\mean-course\server.js", "JavaScript", 0, 42, 0, 0, 0, 0, 2, 9, 53
"c:\Users\10929291\Documents\Development\mean-course\src\app\app-routing.module.ts", "TypeScript", 0, 0, 0, 0, 8, 0, 0, 3, 11
"c:\Users\10929291\Documents\Development\mean-course\src\app\app.component.css", "CSS", 0, 0, 0, 4, 0, 0, 0, 1, 5
"c:\Users\10929291\Documents\Development\mean-course\src\app\app.component.html", "HTML", 0, 0, 0, 0, 0, 5, 0, 1, 6
"c:\Users\10929291\Documents\Development\mean-course\src\app\app.component.spec.ts", "TypeScript", 0, 0, 0, 0, 31, 0, 0, 5, 36
"c:\Users\10929291\Documents\Development\mean-course\src\app\app.component.ts", "TypeScript", 0, 0, 0, 0, 10, 0, 0, 2, 12
"c:\Users\10929291\Documents\Development\mean-course\src\app\app.module.ts", "TypeScript", 0, 0, 0, 0, 39, 0, 0, 5, 44
"c:\Users\10929291\Documents\Development\mean-course\src\app\header\header.component.html", "HTML", 0, 0, 0, 0, 0, 3, 0, 1, 4
"c:\Users\10929291\Documents\Development\mean-course\src\app\header\header.component.ts", "TypeScript", 0, 0, 0, 0, 7, 0, 0, 3, 10
"c:\Users\10929291\Documents\Development\mean-course\src\app\posts\post-create\post-create.component.css", "CSS", 0, 0, 0, 4, 0, 0, 0, 1, 5
"c:\Users\10929291\Documents\Development\mean-course\src\app\posts\post-create\post-create.component.html", "HTML", 0, 0, 0, 0, 0, 32, 0, 1, 33
"c:\Users\10929291\Documents\Development\mean-course\src\app\posts\post-create\post-create.component.ts", "TypeScript", 0, 0, 0, 0, 24, 0, 0, 10, 34
"c:\Users\10929291\Documents\Development\mean-course\src\app\posts\post-list\post-list.component.css", "CSS", 0, 0, 0, 7, 0, 0, 0, 2, 9
"c:\Users\10929291\Documents\Development\mean-course\src\app\posts\post-list\post-list.component.html", "HTML", 0, 0, 0, 0, 0, 13, 0, 1, 14
"c:\Users\10929291\Documents\Development\mean-course\src\app\posts\post-list\post-list.component.ts", "TypeScript", 0, 0, 0, 0, 24, 0, 5, 7, 36
"c:\Users\10929291\Documents\Development\mean-course\src\app\posts\post.model.ts", "TypeScript", 0, 0, 0, 0, 6, 0, 0, 2, 8
"c:\Users\10929291\Documents\Development\mean-course\src\app\posts\posts.service.ts", "TypeScript", 0, 0, 0, 0, 29, 0, 0, 6, 35
"c:\Users\10929291\Documents\Development\mean-course\src\environments\environment.prod.ts", "TypeScript", 0, 0, 0, 0, 3, 0, 0, 1, 4
"c:\Users\10929291\Documents\Development\mean-course\src\environments\environment.ts", "TypeScript", 0, 0, 0, 0, 3, 0, 11, 3, 17
"c:\Users\10929291\Documents\Development\mean-course\src\index.html", "HTML", 0, 0, 0, 0, 0, 16, 0, 1, 17
"c:\Users\10929291\Documents\Development\mean-course\src\main.ts", "TypeScript", 0, 0, 0, 0, 9, 0, 0, 4, 13
"c:\Users\10929291\Documents\Development\mean-course\src\polyfills.ts", "TypeScript", 0, 0, 0, 0, 1, 0, 57, 8, 66
"c:\Users\10929291\Documents\Development\mean-course\src\styles.css", "CSS", 0, 0, 0, 2, 0, 0, 1, 2, 5
"c:\Users\10929291\Documents\Development\mean-course\src\test.ts", "TypeScript", 0, 0, 0, 0, 19, 0, 4, 5, 28
"c:\Users\10929291\Documents\Development\mean-course\tsconfig.app.json", "JSON", 14, 0, 0, 0, 0, 0, 1, 1, 16
"c:\Users\10929291\Documents\Development\mean-course\tsconfig.json", "JSON", 29, 0, 0, 0, 0, 0, 1, 1, 31
"c:\Users\10929291\Documents\Development\mean-course\tsconfig.spec.json", "JSON", 17, 0, 0, 0, 0, 0, 1, 1, 19
"Total", "-", 13012, 121, 14, 17, 213, 69, 89, 114, 13649